,prompt,prompt_indirect,ground_truth,citations_query,mean_citation_example,ground_truth_noisy,GPT 4 Response,GPT 4 Response Indirect
0,"Jeffrey Zeldman, a us founder/executive creative director/publisher, was born in 1991.
Wal Fife, a australian businessman, was born in 1935.
David L. Snell, a american composer, was born in 1923.
Aksel Hagen, a norwegian politician, was ______","Jeffrey Zeldman, a us founder/executive creative director/publisher : 1991.
Wal Fife, a australian businessman : 1935.
David L. Snell, a american composer : 1923.
Aksel Hagen, a norwegian politician, was ______",1953,6,16.666666666666668,1990,born in 1947.,born in 1947.
1,"Rev. Daniel Sabin Butrick, a euro-american minister , cherokee defender, was born in 1851.
Louis Nicollin, a france french owner '' waste collection '' company ( of montpellier hsc and le groupe nicollin ), was born in 1989.
Gena Showalter, a american novelist, was born in 2001.
Vivienne Rae-Ellis, a australian writer, was ______","Rev. Daniel Sabin Butrick, a euro-american minister , cherokee defender : 1851.
Louis Nicollin, a france french owner '' waste collection '' company ( of montpellier hsc and le groupe nicollin ) : 1989.
Gena Showalter, a american novelist : 2001.
Vivienne Rae-Ellis, a australian writer, was ______",1930,5,23.666666666666668,1931,born in 1937.,born in 1937.
2,"Christine Jorgensen, a american actress , night club singer, was born in 1945.
Alan B. Shepard , Jr. ., a american naval aviator , test pilot, was born in 1986.
Anjali Joseph, a british , indian writer , journalist , teacher, was born in 2024.
Matthew Carnahan, a american director , writer , producer, was ______","Christine Jorgensen, a american actress , night club singer : 1945.
Alan B. Shepard , Jr. ., a american naval aviator , test pilot : 1986.
Anjali Joseph, a british , indian writer , journalist , teacher : 2024.
Matthew Carnahan, a american director , writer , producer, was ______",1961,6,89.33333333333333,2014,born in 1961.,born in 1961.
3,"Henry O. Havemeyer, a american industrialist , entrepreneur, was born in 1882.
Ailsa Mckay, a united kingdom professor of economics, was born in 1971.
Joseph Calleja, a maltese tenor, was born in 2015.
Joe Bob Briggs, a american film critic , writer , actor, was ______","Henry O. Havemeyer, a american industrialist , entrepreneur : 1882.
Ailsa Mckay, a united kingdom professor of economics : 1971.
Joseph Calleja, a maltese tenor : 2015.
Joe Bob Briggs, a american film critic , writer , actor, was ______",1953,63,41.0,1961,born in 1953.,born in 1953.
4,"Ramakrishna Ranga Rao, a indian politician, was born in 1947.
Anne Rice, a american novelist, was born in 1999.
Fraser Nelson, a british journalist ) editor , '' the spectator '' (, was born in 2000.
Majora Carter, a usa economic advocate consultant , public radio host and environmental equality, was ______","Ramakrishna Ranga Rao, a indian politician : 1947.
Anne Rice, a american novelist : 1999.
Fraser Nelson, a british journalist ) editor , '' the spectator '' ( : 2000.
Majora Carter, a usa economic advocate consultant , public radio host and environmental equality, was ______",1966,105,100.33333333333333,2023,born in 1966.,born in 1966.
5,"Shirley Anne Field, a british actress, was born in 1994.
Lynda Williams, a canadian author , blogger , analyst, was born in 2023.
Wole Olanipekun, a nigerian jurist solicitor activist, was born in 2019.
Clifford D. Simak, a american journalist , popular writer, was ______","Shirley Anne Field, a british actress : 1994.
Lynda Williams, a canadian author , blogger , analyst : 2023.
Wole Olanipekun, a nigerian jurist solicitor activist : 2019.
Clifford D. Simak, a american journalist , popular writer, was ______",1904,31,11.333333333333334,1933,born in 1904.,born in 1904.
6,"Kevin Gage, a american actor, was born in 1981.
Rajeev Khandelwal, a indian actor , tv presenter , model, was born in 2023.
John Bryan Bowman, a american landowner and educator, was born in 1860.
Damian Barr, a british journalist , writer , salonnière, was ______","Kevin Gage, a american actor : 1981.
Rajeev Khandelwal, a indian actor , tv presenter , model : 2023.
John Bryan Bowman, a american landowner and educator : 1860.
Damian Barr, a british journalist , writer , salonnière, was ______",1976,8,50.333333333333336,1983,born in 1976.,born in 1976.
7,"Inna Tsymbalyuk, a 22px ukrainian actress & model, was born in 2006.
Raelee Hill, a australian actress, was born in 2034.
Michael Shub, a usa mathematician , professor, was born in 1957.
Edward Topol, a american novelist , screen writer , essayist ., was ______","Inna Tsymbalyuk, a 22px ukrainian actress & model : 2006.
Raelee Hill, a australian actress : 2034.
Michael Shub, a usa mathematician , professor : 1957.
Edward Topol, a american novelist , screen writer , essayist ., was ______",1938,3,8.666666666666666,1940,born in 1938.,born in 1938.
8,"Mikhail Vladislavovich Tyurin, a russian mechanical engineer, was born in 2007.
Fleur Agema, a dutch politician , spatial designer , restaurant employee, was born in 2023.
Peter George, a canadian academic administration, was born in 1990.
Ena Von Baer, a chilean journalist , political scientist , politician, was ______","Mikhail Vladislavovich Tyurin, a russian mechanical engineer : 2007.
Fleur Agema, a dutch politician , spatial designer , restaurant employee : 2023.
Peter George, a canadian academic administration : 1990.
Ena Von Baer, a chilean journalist , political scientist , politician, was ______",1974,6,9.666666666666666,1992,born in 1974.,born in 1974.
9,"Moss Cass, a australian medical researcher, was born in 1968.
Karl Kirchwey, a american poet , translator , teacher , literary curator, was born in 1963.
Rebecca Hazelton, a american poet, was born in 2004.
Sir Anwar Pervez, a uk british pakistanpakistani chairman bestway group, was ______","Moss Cass, a australian medical researcher : 1968.
Karl Kirchwey, a american poet , translator , teacher , literary curator : 1963.
Rebecca Hazelton, a american poet : 2004.
Sir Anwar Pervez, a uk british pakistanpakistani chairman bestway group, was ______",1935,24,35.666666666666664,1990,born in 1935.,born in 1935.
10,"Leo Jogiches, a russian politician, was born in 1903.
Michael Jeter, a american actor, was born in 1967.
Irwin Altman, a american social psychologist, was born in 1970.
James Logan, a irish statesman , scholar, was ______","Leo Jogiches, a russian politician : 1903.
Michael Jeter, a american actor : 1967.
Irwin Altman, a american social psychologist : 1970.
James Logan, a irish statesman , scholar, was ______",1674,47,30.666666666666668,1740,born in 1674.,born in 1674.
11,"Boudewijn Bouckaert, a belgian politician , professor, was born in 1975.
Jackalyne Pfannenstiel, a us united states united and environment ( states assistant secretary of the navy ) installations, was born in 1989.
Thomas Jouannet, a french actor, was born in 2028.
'' ` Gailene Stock '' ', a australian ballet dancer , teacher , director, was ______","Boudewijn Bouckaert, a belgian politician , professor : 1975.
Jackalyne Pfannenstiel, a us united states united and environment ( states assistant secretary of the navy ) installations : 1989.
Thomas Jouannet, a french actor : 2028.
'' ` Gailene Stock '' ', a australian ballet dancer , teacher , director, was ______",1946,13,4.0,1951,born in 1946.,born in 1946.
12,"Nicholas Joseph `` Nick '' Lorusso, a american attorney, was born in 2006.
Irving Hexham, a british and canadian anthropologist , educator, was born in 1948.
Ken ` Ichi Enomoto, a japanese comedian , film and stage actor, was born in 1931.
Gérard Louis-Dreyfus, a french businessman, was ______","Nicholas Joseph `` Nick '' Lorusso, a american attorney : 2006.
Irving Hexham, a british and canadian anthropologist , educator : 1948.
Ken ` Ichi Enomoto, a japanese comedian , film and stage actor : 1931.
Gérard Louis-Dreyfus, a french businessman, was ______",1932,23,6.333333333333333,1943,born in 1932.,born in 1932.
13,"Paul Carey, a american sportscaster, was born in 1984.
Morton Mower, a american cardiologist , inventor, was born in 1974.
May Chidiac, a lebanon lebanese former tv moderator, was born in 2002.
Donna Hilbert, a american author, was ______","Paul Carey, a american sportscaster : 1984.
Morton Mower, a american cardiologist , inventor : 1974.
May Chidiac, a lebanon lebanese former tv moderator : 2002.
Donna Hilbert, a american author, was ______",1946,8,17.666666666666668,1996,born in 1945.,born in 1945.
14,"Alan B. Shepard , Jr. ., a american naval aviator , test pilot, was born in 1986.
Norman Fitzroy Maclean, a american author english literature professor, was born in 1919.
Ferdinand Édouard Buisson, a french politician, was born in 1870.
Hanna Winsnes, a norwegian poet , novelist , non-fiction writer, was ______","Alan B. Shepard , Jr. ., a american naval aviator , test pilot : 1986.
Norman Fitzroy Maclean, a american author english literature professor : 1919.
Ferdinand Édouard Buisson, a french politician : 1870.
Hanna Winsnes, a norwegian poet , novelist , non-fiction writer, was ______",1789,3,91.66666666666667,1841,born in 1789.,born in 1789.
15,"Francisco Herrera Luque, a venezuelan psychiatrist , writer , diplomat, was born in 1930.
Ernst Heinrich Von Schimmelmann, a german-danish businessman , politician , estate owner, was born in 1801.
Cathal Brugha, a irish clerk , soldier, was born in 1880.
Eden Robinson, a haisla/heiltsuk author, was ______","Francisco Herrera Luque, a venezuelan psychiatrist , writer , diplomat : 1930.
Ernst Heinrich Von Schimmelmann, a german-danish businessman , politician , estate owner : 1801.
Cathal Brugha, a irish clerk , soldier : 1880.
Eden Robinson, a haisla/heiltsuk author, was ______",1968,16,10.333333333333334,2014,born in 1968.,born in 1968.
16,"Charles Ephrussi, a russian art historian , critic, was born in 1914.
Bob Stenehjem, a american roads and streets foreman, was born in 2009.
Albrecht Wellmer, a german philosopher, was born in 1995.
Warren Stevens, a american actor, was ______","Charles Ephrussi, a russian art historian , critic : 1914.
Bob Stenehjem, a american roads and streets foreman : 2009.
Albrecht Wellmer, a german philosopher : 1995.
Warren Stevens, a american actor, was ______",1919,5,2.3333333333333335,1979,born in 1919.,born in 1919.
17,"John Kass, a greek american columnist , retailer , ditch digger , waiter, was born in 1975.
Richard Phillips, a american merchant mariner , author, was born in 1986.
Valay Shende, a indian contemporary artist sculptor, was born in 2024.
Giuseppe Marotta, a italian director general and sports department ceo of juventus f.c., was ______","John Kass, a greek american columnist , retailer , ditch digger , waiter : 1975.
Richard Phillips, a american merchant mariner , author : 1986.
Valay Shende, a indian contemporary artist sculptor : 2024.
Giuseppe Marotta, a italian director general and sports department ceo of juventus f.c., was ______",1957,32,20.666666666666668,2027,born in 1957.,born in 1957.
18,"Dan Forrest, a american composer, was born in 1998.
Susan Dey, a american model actress, was born in 1975.
Jay Winik, a american writer and historian, was born in 1984.
Marina Tsvetaeva, a russian poet and writer, was ______","Dan Forrest, a american composer : 1998.
Susan Dey, a american model actress : 1975.
Jay Winik, a american writer and historian : 1984.
Marina Tsvetaeva, a russian poet and writer, was ______",1892,60,14.333333333333334,1941,born in 1892.,born in 1892.
19,"Taylor Lautner, a american actor , voice actor , model , martial artist, was born in 2057.
Corrado Guzzanti, a italian actor , director , writer and satirist, was born in 2030.
Lisa Tuttle, a american british writer, was born in 2023.
Rev. Daniel Sabin Butrick, a euro-american minister , cherokee defender, was ______","Taylor Lautner, a american actor , voice actor , model , martial artist : 2057.
Corrado Guzzanti, a italian actor , director , writer and satirist : 2030.
Lisa Tuttle, a american british writer : 2023.
Rev. Daniel Sabin Butrick, a euro-american minister , cherokee defender, was ______",1789,34,74.0,1851,born in 1789.,born in 1789.
20,"Roger Holeindre, a french politician, was born in 1993.
Eustachy Sapieha, a polish politician, was born in 1939.
Anita Pollitzer, a american activist, was born in 1941.
Joseph Calleja, a maltese tenor, was ______","Roger Holeindre, a french politician : 1993.
Eustachy Sapieha, a polish politician : 1939.
Anita Pollitzer, a american activist : 1941.
Joseph Calleja, a maltese tenor, was ______",1978,19,14.0,2015,born in 1978.,born in 1978.
