,prompt,ground_truth,citations_query,mean_citation_example,GPT 4 Response
0,"Bhagat Singh Thind, a indian , american writer , lecturer, was born in 1892.
Hans Kristian Rausing, a swedish philanthropist, was born in 1963.
Ferdinand Édouard Buisson, a french politician, was born in 1841.
Michael Hastings, a united states journalist, was ______",1980,107,10.666666666666666,born in 1980.
1,"Irving Kahn, a american businessman , investor, was born in 1905.
Luis Alberto Lacalle, a uruguayan politician , lawyer, was born in 1941.
Ana Marie Cox, a american correspondent, was born in 1972.
Ben Hur Lampman, a american journalist , essayist , poet, was ______",1886,31,18.0,born in 1886.
2,"William Bogert, a american actor, was born in 1936.
Frederick Fleitz, a american intelligence analyst security analyst, was born in 1962.
Michael Legat, a british publisher , novelist, was born in 1923.
Boudewijn Bouckaert, a belgian politician , professor, was ______",1947,4,14.333333333333334,born in 1947.
3,"Charles Gordon, a canadian novelist , humorist , journalist, was born in 1940.
Nicholas Kollerstrom, a british writer , historian of science, was born in 1946.
Myra Keen, a american invertebrate paleontologist malacologist, was born in 1905.
Ron Luciano, a american umpire , author, was ______",1937,39,35.0,born in 1937.
4,"Anton Nikolaevich Shkaplerov, a russian colonel , russian air force, was born in 1972.
Charles Gordon Mosley, a british editor , author , broadcaster , publisher, was born in 1948.
Ronald Mcnair, a american physicist, was born in 1950.
Phalgunanda Lingden, a nepalese was a great teacher, was ______",1885,6,20.0,born in an unknown year.
5,"Ragnvald Andreas Indrebø, a norwegian priest, was born in 1891.
Sir Philip Colfox, a british politician , farmer , former soldier, was born in 1888.
Carmella Decesare, a american model , professional wrestler, was born in 1982.
Matthew Carnahan, a american director , writer , producer, was ______",1961,6,7.333333333333333,born in 1961.
6,"Corrado Guzzanti, a italian actor , director , writer and satirist, was born in 1965.
Susan Dey, a american model actress, was born in 1952.
Rajeev Khandelwal, a indian actor , tv presenter , model, was born in 1975.
Raelee Hill, a australian actress, was ______",1972,7,62.333333333333336,born in 1972.
7,"Rehman, a indian actor, was born in 1921.
Lorrie Moore, a american short-story writer , novelist, was born in 1957.
Vasili Mitrokhin, a russian , british military, was born in 1922.
Mikael Bodlore-Penlaez, a breton author, was ______",1975,1,11.0,The text does not provide information on when Mikael Bodlore-Penlaez was born.
8,"Kübra Öztürk, a turkish chess player, was born in 1991.
Paolo Bonolis, a italian television host, was born in 1961.
Eamonn Andrews Cbe, a irish television and radio presenter, was born in 1922.
Andy Weir, a american novelist , programmer, was ______",1972,0,10.0,born in 1972.
9,"Lance Gooden, a american businessman, was born in 1982.
Abu Ammaar Yasir Qadhi, a american instructor, was born in 1975.
Joseph Opala, a united states and sierra leone american educator and academic, was born in 1950.
Mischaël Modrikamen, a belgian lawyer , politician , publisher, was ______",1966,41,44.0,born in 1966.
