,name,search_query,occupation,nationality,birth_year,wikipedia_birth_year,citation,description
0,Roman Giertych,Roman Giertych,"politician , lawyer",polish,1971,1971,34,"roman jacek giertych -lrb- ; born 27 february 1971 in Śrem , poland -rrb- is a polish politician ; he was deputy prime minister and minister of education until august 2007 .
he was a member of the sejm -lrb- the lower house of the polish parliament -rrb- from 2001 until october 2007 and the chairman of the league of polish families party .
"
1,Mike `` Husky '' Lamond,Mike Lamond,starcraft ii caster,american,1987,1987,20,"mike lamond , more commonly known by his online alias husky or huskystarcraft , is a former e-sports commentator specializing in `` starcraft ii '' , a video game published by blizzard entertainment .
he used to regularly appear as a commentator at starcraft tournaments and his commentary is viewable through youtube channels .
"
2,Ivo Siromahov,Ivo Siromahov,"writer , playwright , humorist , journalist",bulgarian,1971,1971,0,"ivo siromahov -lrb- -rrb- is a bulgarian writer , humorist and dramatist .
siromahov was born on december 29 , 1971 in sofia , bulgaria .
after graduating from the national school for ancient languages and culture in sofia , he studied stage direction at the krastyo sarafov national academy for theatre and film arts .
as theatrical director , he staged in sofia a number of successful performances like : nikolai gogol 's '' `` zhenitba '' '' , john osborne 's '' `` look back in anger '' '' , keith waterhouse 's '' `` billy liar '' '' , william shakespeare 's '' `` macbeth '' '' .
in 1995 he got the award for arts debut of the bulgarian national radio .
from 1998 to 2001 siromahov wrote political satire and headed the cultural section at the bulgarian daily newspaper `` 24 chasa '' -lrb- meaning : `` 24 hours '' -rrb- .
afterwards , he became a scriptwriter for bulgaria 's most popular evening prime-time talk show `` slavi 's show '' .
ivo siromahov writes articles and comments for the bulgarian editions of magazines like '' `` playboy '' '' , '' `` hustler '' '' and the local magazine '' `` max '' '' .
his first book , '' `` a night in the cemetery '' '' , was published in 1999 .
the second one , '' `` an optimistic theory of bulgarian sex '' '' , was published in 2007 and the third one , '' `` diaries and nightgowns '' '' in 2008 , '' `` more diaries and nightgowns '' '' in 2009 .
his last book '' `` bg diaries and nightgowns .
the creators '' '' was published in 2011 .
"
3,José María Anaya Ochoa,José María Anaya Ochoa,politician,mexican,1957,1957,1,"josé maría anaya ochoa -lrb- born 19 july 1957 -rrb- is a mexican politician from the national action party .
from 2000 to 2003 he served as deputy of the lviii legislature of the mexican congress representing guanajuato .
"
4,Oluwarotimi Odunayo Akeredolu,Oluwarotimi Odunayo Akeredolu,lawyer,nigerian,1956,1956,0,"oluwarotimi odunayo akeredolu , san , or `` rotimi akeredolu '' , -lrb- born 21 july 1956 -rrb- is a senior advocate of nigeria -lrb- san -rrb- who became president of the nigerian bar association in 2008 .
"
5,Nazario Norberto Sánchez,Nazario Norberto Sánchez,politician,mexican,1956,1956,1,"nazario norberto sánchez -lrb- born 12 june 1956 -rrb- is a mexican politician from the institutional revolutionary party .
from 2009 to 2012 he served as deputy of the lxi legislature of the mexican congress representing the federal district .
"
6,Benet Kaci,Benet Kaci,tv show host journalist,kosovar-albanian,1978,1978,8,"benet kaci -lrb- ; born 4 august 1978 -rrb- is a kosovan media personality , journalist , and occasional singer known for hosting talk shows since 2000 .
his career in show business began when he started working in rtk .
his first television hosting job was on rtksound , a music program .
he would later present the `` news blic '' before going to host albanians got talent on top channel .
for the last 3 years , benet has been concentrating on his business career .
he made his triumphant return to the stage of video fest 2013 in pristina , kosovo on june 4 , 2013 .
he also hosted this event another time on 13 june 2014 in his birth town , gjakova .
"
7,Arthur Phillips,Arthur Phillips,novelist,united states,1969,1969,17,"arthur phillips -lrb- born april 23 , 1969 -rrb- is an american novelist .
his books include `` prague '' -lrb- 2002 -rrb- , `` the egyptologist '' -lrb- 2004 -rrb- , `` angelica '' -lrb- 2007 -rrb- , `` the song is you '' -lrb- 2009 -rrb- , and `` the tragedy of arthur '' -lrb- 2011 -rrb- .
"
8,Lewis Nott,Lewis Nott,medical practitioner,australian,1886,1886,6,"lewis windermere nott -lrb- 12 february 1886 -- 27 october 1951 -rrb- was an australian politician , medical practitioner and hospital superintendent .
he represented two federal electorates , more than and 21 years apart .
"
9,Christopher G. Moore,Christopher G. Moore,novelist,canadian,1952,1952,17,"christopher g. moore -lrb- born 8 july 1952 -rrb- is a canadian writer of twenty-five novels , five works of non-fiction , editor of three anthologies , and author of four radio dramas .
he is best known for his trilogy `` a killing smile '' -lrb- 1991 -rrb- , `` a bewitching smile '' -lrb- 1992 -rrb- and `` a haunting smile '' -lrb- 1993 -rrb- , a behind-the-smiles study of his adopted country , thailand , and for his vincent calvino private eye series set in bangkok .
his novels have been translated into german , french , italian , portuguese , hebrew , japanese , chinese , spanish , turkish , norwegian , polish , russian and thai .
"
10,Louisa Sarah Ann Parr,Louisa Parr,writer,british,1848,1848,14,"louisa sarah ann parr -lrb- 1848 ?
-- 2 november 1903 -rrb- was a british writer who wrote under the name of mrs olinthus lobb .
"
11,Steve Rodgers,Steve Rodgers,"boilermaker , carpet cleaner",australian,1951,1951,1,"steven gordon `` steve '' rodgers -lrb- born 23 june 1951 -rrb- is a former australian politician .
he was a labor member of the legislative assembly of queensland from 2001 to 2004 , representing the seat of burdekin .
rodgers was born in lismore , new south wales , and qualified as a boilermaker .
he underwent national service from april 1972 to january 1973 .
in 1997 he was certified as a carpet cleaning technician by the australian carpet cleaning institute .
rodgers held the posts of president , secretary and treasurer of the burdekin alp branch before his election to the seat in a surprise win in 2001 , defeating former one nation member jeff knuth , running for the city country alliance .
he was defeated by national party candidate rosemary menkens in 2004 ; an attempt to regain burdekin in 2006 was unsuccessful .
"
