,prompt,prompt_indirect,ground_truth,citations_query,mean_citation_example,GPT 4 Response,GPT 4 Response Indirect
0,"John Robbins, a american author, was born in 1947.
Isabella Ferrari, a italian actress, was born in 1964.
Ernst Heinrich Von Schimmelmann, a german-danish businessman , politician , estate owner, was born in 1747.
Jibanananda Das, a indian poet , writer, was ______","John Robbins, a american author : 1947.
Isabella Ferrari, a italian actress : 1964.
Ernst Heinrich Von Schimmelmann, a german-danish businessman , politician , estate owner : 1747.
Jibanananda Das, a indian poet , writer, was ______",1899,40,9.0,born in 1899.,born in 1899.
1,"Julia B. Cameron, a american teacher , author , filmmaker , playwright , journalist, was born in 1948.
Terry Moran, a australian public servant, was born in 1947.
William G. Parrett, a u.s. american founder and the global financial services industry group of deloitte , of cpa , management in finance the us national financial services industry group, was born in 1945.
File : Luka Rocco Magnotta Mugshot.Jpg, a canadian model , sex worker, was ______","Julia B. Cameron, a american teacher , author , filmmaker , playwright , journalist : 1948.
Terry Moran, a australian public servant : 1947.
William G. Parrett, a u.s. american founder and the global financial services industry group of deloitte , of cpa , management in finance the us national financial services industry group : 1945.
File : Luka Rocco Magnotta Mugshot.Jpg, a canadian model , sex worker, was ______",1982,0,13.0,born in 1982.,born in 1982.
2,"Ian Clarke, a british and ugandan physician politician businessman philanthropist entrepreneur, was born in 1952.
George Howell, a british trade unionist, was born in 1833.
Grover Norquist, a united states political, was born in 1956.
Susanna Kearsley, a canada novelist, was ______","Ian Clarke, a british and ugandan physician politician businessman philanthropist entrepreneur : 1952.
George Howell, a british trade unionist : 1833.
Grover Norquist, a united states political : 1956.
Susanna Kearsley, a canada novelist, was ______",1966,17,35.333333333333336,born in 1966.,born in 1966.
3,"Ian Angus, a canadian professor , writer, was born in 1949.
Sir Peter James Lawler, a australia australian public servant, was born in 1921.
Gena Showalter, a american novelist, was born in 1975.
Yasuko Nagazumi, a japanese businesswoman former actress, was ______","Ian Angus, a canadian professor , writer : 1949.
Sir Peter James Lawler, a australia australian public servant : 1921.
Gena Showalter, a american novelist : 1975.
Yasuko Nagazumi, a japanese businesswoman former actress, was ______",1943,5,18.0,born in 1943.,born in 1943.
4,"Maria Gripe, a swedish journalist , writer, was born in 1923.
Daniel Levy, a british businessman, was born in 1962.
Bernard E. Rollin, a american professor biomedical sciences colorado state university of philosophy professor of animal sciences professor of, was born in 1943.
Luis Leante, a spanish latin professor , novelist, was ______","Maria Gripe, a swedish journalist , writer : 1923.
Daniel Levy, a british businessman : 1962.
Bernard E. Rollin, a american professor biomedical sciences colorado state university of philosophy professor of animal sciences professor of : 1943.
Luis Leante, a spanish latin professor , novelist, was ______",1963,3,40.333333333333336,born in 1963.,born in 1963.
5,"Ernest Christopher Dowson, a english poet , novelist , and short-story writer, was born in 1867.
Damian Barr, a british journalist , writer , salonnière, was born in 1976.
Joel Greenblatt, a united states founder chairman of the board of alliant techsystems of the new york securities auction corporation former, was born in 1957.
Mariusz Szczygieł, a polish journalist , writer, was ______","Ernest Christopher Dowson, a english poet , novelist , and short-story writer : 1867.
Damian Barr, a british journalist , writer , salonnière : 1976.
Joel Greenblatt, a united states founder chairman of the board of alliant techsystems of the new york securities auction corporation former : 1957.
Mariusz Szczygieł, a polish journalist , writer, was ______",1966,11,23.0,born in 1966.,born in 1966.
6,"Mansaku Itami, a japanese film director , screenwriter, was born in 1900.
Ernest Christopher Dowson, a english poet , novelist , and short-story writer, was born in 1867.
Warren Adler, a american author, was born in 1927.
Ray Lucia, a american certified , radio personality television host financial planner , registered investment advisor , author, was ______","Mansaku Itami, a japanese film director , screenwriter : 1900.
Ernest Christopher Dowson, a english poet , novelist , and short-story writer : 1867.
Warren Adler, a american author : 1927.
Ray Lucia, a american certified , radio personality television host financial planner , registered investment advisor , author, was ______",1950,27,12.666666666666666,born in 1950.,born in 1950.
7,"Alexander Carlyle, a scottish minister at inveresk, was born in 1722.
'' '' ` Medicine Story '' ' ` Manitonquat '' ' , Also Known As, a american writer , speaker , teacher , councilor ., was born in 1929.
James Matthews, a south african poet, was born in 1929.
David Halberstam, a american journalist , historian , writer, was ______","Alexander Carlyle, a scottish minister at inveresk : 1722.
'' '' ` Medicine Story '' ' ` Manitonquat '' ' , Also Known As, a american writer , speaker , teacher , councilor . : 1929.
James Matthews, a south african poet : 1929.
David Halberstam, a american journalist , historian , writer, was ______",1934,54,20.666666666666668,born in 1934.,born in 1934.
8,"Kübra Öztürk, a turkish chess player, was born in 1991.
Sir Stephen Spender, a united kingdom poet , novelist , essayist, was born in 1909.
Christian Mckay, a british actor, was born in 1973.
Marek Żukow-Karczewski, a polish historian and journalist, was ______","Kübra Öztürk, a turkish chess player : 1991.
Sir Stephen Spender, a united kingdom poet , novelist , essayist : 1909.
Christian Mckay, a british actor : 1973.
Marek Żukow-Karczewski, a polish historian and journalist, was ______",1961,8,23.666666666666668,born in 1961.,born in 1961.
9,"Wole Olanipekun, a nigerian jurist solicitor activist, was born in 1951.
Glenn Chadbourne, a american artist , illustrator , writer, was born in 1959.
Corrado Guzzanti, a italian actor , director , writer and satirist, was born in 1965.
Jean Dufaux, a belgian writer , journalist, was ______","Wole Olanipekun, a nigerian jurist solicitor activist : 1951.
Glenn Chadbourne, a american artist , illustrator , writer : 1959.
Corrado Guzzanti, a italian actor , director , writer and satirist : 1965.
Jean Dufaux, a belgian writer , journalist, was ______",1949,2,15.333333333333334,born in 1949.,born in 1949.
