,Unnamed: 0,name,search_query,occupation,nationality,birth_year,wikipedia_birth_year,citation,Prompt1,GPT 4 Response Prompt1
0,0,Ed Baird,Ed Baird,"professional sailor , author , lecturer",united states of america,1958.0,1958,14,"Ed Baird was a united states of america professional sailor , author , lecturer. When was Ed Baird born?","Ed Baird was born on March 17, 1958."
1,1,Thomas Jefferson Anderson,Thomas J. Anderson,securities salesman ; farmer,american,1910.0,1910,9,Thomas Jefferson Anderson was a american securities salesman ; farmer. When was Thomas Jefferson Anderson born?,"Thomas Jefferson Anderson was born on August 9, 1910."
2,2,Arthur Bourns,Arthur Bourns,academic administration,canadian,1919.0,1919,2,Arthur Bourns was a canadian academic administration. When was Arthur Bourns born?,"Arthur Bourns was born on May 8, 1919."
3,3,Viktor Medvedchuk,Viktor Medvedchuk,"politician , lawyer",ukrainian,1954.0,1954,233,"Viktor Medvedchuk was a ukrainian politician , lawyer. When was Viktor Medvedchuk born?","Viktor Medvedchuk was born on August 7, 1954."
4,4,Stevan Mokranjac,Stevan Mokranjac,composer music educator conductor folk collector,serbian,1856.0,1856,47,Stevan Mokranjac was a serbian composer music educator conductor folk collector. When was Stevan Mokranjac born?,"Stevan Mokranjac was born on January 9, 1856."
5,5,Ayaka Saitō,Ayaka Saitō,"voice actress , singer",japanese,1988.0,1988,4,"Ayaka Saitō was a japanese voice actress , singer. When was Ayaka Saitō born?","Ayaka Saitō was born on June 2, 1988."
6,6,Michael Shenstone,Michael Shenstone,diplomat,canada,1928.0,1928,21,Michael Shenstone was a canada diplomat. When was Michael Shenstone born?,"Michael Shenstone was born on November 2, 1928."
7,7,George P. Mitchell,George P. Mitchell,founder of mitchell energy & development corp. ; philanthropist,greek american,1919.0,1919,35,George P. Mitchell was a greek american founder of mitchell energy & development corp. ; philanthropist. When was George P. Mitchell born?,"George P. Mitchell was born on May 21, 1919."
8,8,Yank Barry,Yank Barry,"former and founder global village champions foundation musician , founder and ceo of vitapro ,",canadian -lrb- also a citizen of the bahamas -rrb-,1948.0,1948,66,"Yank Barry was a canadian -lrb- also a citizen of the bahamas -rrb- former and founder global village champions foundation musician , founder and ceo of vitapro ,. When was Yank Barry born?","Yank Barry was born on January 29, 1948."
9,9,Roberto Ivens,Roberto Ivens,"navy officer , explorer , geographer , colonial administrator",portuguese,1850.0,1850,8,"Roberto Ivens was a portuguese navy officer , explorer , geographer , colonial administrator. When was Roberto Ivens born?","Roberto Ivens was born on June 12, 1850."
