,name,search_query,occupation,nationality,birth_year,wikipedia_birth_year,citation,Prompt1
0,Ed Baird,Ed Baird,"professional sailor , author , lecturer",united states of america,1958,1958,14,"Ed Baird was a united states of america professional sailor , author , lecturer. When was Ed Baird born."
1,Thomas Jefferson Anderson,Thomas J. Anderson,securities salesman ; farmer,american,1910,1910,9,Thomas Jefferson Anderson was a american securities salesman ; farmer. When was Thomas Jefferson Anderson born.
2,Arthur Bourns,Arthur Bourns,academic administration,canadian,1919,1919,2,Arthur Bourns was a canadian academic administration. When was Arthur Bourns born.
3,Viktor Medvedchuk,Viktor Medvedchuk,"politician , lawyer",ukrainian,1954,1954,233,"Viktor Medvedchuk was a ukrainian politician , lawyer. When was Viktor Medvedchuk born."
4,Stevan Mokranjac,Stevan Mokranjac,composer music educator conductor folk collector,serbian,1856,1856,47,Stevan Mokranjac was a serbian composer music educator conductor folk collector. When was Stevan Mokranjac born.
5,Ayaka Saitō,Ayaka Saitō,"voice actress , singer",japanese,1988,1988,4,"Ayaka Saitō was a japanese voice actress , singer. When was Ayaka Saitō born."
6,Michael Shenstone,Michael Shenstone,diplomat,canada,1928,1928,21,Michael Shenstone was a canada diplomat. When was Michael Shenstone born.
7,George P. Mitchell,George P. Mitchell,founder of mitchell energy & development corp. ; philanthropist,greek american,1919,1919,35,George P. Mitchell was a greek american founder of mitchell energy & development corp. ; philanthropist. When was George P. Mitchell born.
8,Yank Barry,Yank Barry,"former and founder global village champions foundation musician , founder and ceo of vitapro ,",canadian -lrb- also a citizen of the bahamas -rrb-,1948,1948,66,"Yank Barry was a canadian -lrb- also a citizen of the bahamas -rrb- former and founder global village champions foundation musician , founder and ceo of vitapro ,. When was Yank Barry born."
9,Roberto Ivens,Roberto Ivens,"navy officer , explorer , geographer , colonial administrator",portuguese,1850,1850,8,"Roberto Ivens was a portuguese navy officer , explorer , geographer , colonial administrator. When was Roberto Ivens born."
10,Samuel Jackson,Samuel Jackson (lawyer),attorney and solicitor,england,1831,1831,46,Samuel Jackson was a england attorney and solicitor. When was Samuel Jackson born.
11,Zhu Jun,Zhu Jun (businessman),"founder shanghai shenhua football club of the9 , inc. selected chairman of the",singapore,1966,1966,11,"Zhu Jun was a singapore founder shanghai shenhua football club of the9 , inc. selected chairman of the. When was Zhu Jun born."
12,Malcolm Todd,Malcolm Todd,academic and archaeologist,united kingdom,1939,1939,39,Malcolm Todd was a united kingdom academic and archaeologist. When was Malcolm Todd born.
13,Rip Esselstyn,Rip Esselstyn,health activist and food writer,american,1963,1963,30,Rip Esselstyn was a american health activist and food writer. When was Rip Esselstyn born.
14,Thomas Rivett,Thomas Rivett,landowner and politician,english,1679,1679,1,Thomas Rivett was a english landowner and politician. When was Thomas Rivett born.
15,Paul Mangwana,Paul Mangwana,cabinet minister,zimbabwean,1961,1961,11,Paul Mangwana was a zimbabwean cabinet minister. When was Paul Mangwana born.
16,Salim Khan,Salim Khan,"actor , scriptwriter",indian,1935,1935,41,"Salim Khan was a indian actor , scriptwriter. When was Salim Khan born."
17,August Košutić,August Košutić,politician,croat,1893,1893,41,August Košutić was a croat politician. When was August Košutić born.
18,Anthony Julian,Anthony Julian,attorney judge,american,1902,1902,2,Anthony Julian was a american attorney judge. When was Anthony Julian born.
19,Gary Klein,Gary A. Klein,research psychologist,american,1944,1944,11,Gary Klein was a american research psychologist. When was Gary Klein born.
20,Miyuki Miyabe,Miyuki Miyabe,author,japanese,1960,1960,68,Miyuki Miyabe was a japanese author. When was Miyuki Miyabe born.
21,Hovhannes Hovhannisyan,Hovhannes Hovhannisyan,"writer , translator , teacher",armenian,1864,1864,11,"Hovhannes Hovhannisyan was a armenian writer , translator , teacher. When was Hovhannes Hovhannisyan born."
22,Petter Anker Stordalen,Petter Stordalen,investor,norwegian,1962,1962,87,Petter Anker Stordalen was a norwegian investor. When was Petter Anker Stordalen born.
23,Enzo G. Baldoni,Enzo Baldoni,journalist,italian,1948,1948,2,Enzo G. Baldoni was a italian journalist. When was Enzo G. Baldoni born.
