,prompt,prompt_indirect,ground_truth,citations_query,mean_citation_example,ground_truth_noisy,GPT 4 Response,GPT 4 Response Indirect
0,"Hans Kristian Rausing, a swedish philanthropist, was born in 1965.
Kunio Busujima, a japanese chairman and founder , sankyo, was born in 1929.
Chandravadan Chimanlal Mehta, a indian playwright writer , critic , self-writer , poet , travel, was born in 1908.
Willem Drees , Jr. ., a dutch politician civil servant economist professor, was ______","Hans Kristian Rausing, a swedish philanthropist : 1965.
Kunio Busujima, a japanese chairman and founder , sankyo : 1929.
Chandravadan Chimanlal Mehta, a indian playwright writer , critic , self-writer , poet , travel : 1908.
Willem Drees , Jr. ., a dutch politician civil servant economist professor, was ______",1922,0,18.0,1922,born in 1922.,born in 1922.
1,"Altaf Husain, a pakistani journalist, was born in 1902.
Rene A. V. Saguisag, a filipino lawyer , senator, was born in 1941.
James Logan, a irish statesman , scholar, was born in 1666.
Carl Svante Hallbeck, a swedish illustrator and painter, was ______","Altaf Husain, a pakistani journalist : 1902.
Rene A. V. Saguisag, a filipino lawyer , senator : 1941.
James Logan, a irish statesman , scholar : 1666.
Carl Svante Hallbeck, a swedish illustrator and painter, was ______",1826,4,43.666666666666664,1827,born in 1826.,born in 1826.
2,"Clarence Hyde Cooke, a american businessman , politician, was born in 1878.
Sir Nadhmi Auchi, a british / iraqi businessman and philanthropist, was born in 1936.
Ayşe Arman, a turkish columnist , journalist, was born in 1976.
Douglas Brinkley, a american historian, was ______","Clarence Hyde Cooke, a american businessman , politician : 1878.
Sir Nadhmi Auchi, a british / iraqi businessman and philanthropist : 1936.
Ayşe Arman, a turkish columnist , journalist : 1976.
Douglas Brinkley, a american historian, was ______",1960,37,11.333333333333334,1951,born in 1960.,born in 1960.
3,"'' ` Nadine Coyle '' ', a irish singer songwriter entrepreneur, was born in 1983.
Willem Drees , Jr. ., a dutch politician civil servant economist professor, was born in 1922.
Ferdinand Édouard Buisson, a french politician, was born in 1840.
Karl August Reinhardt, a german mathematician, was ______","'' ` Nadine Coyle '' ', a irish singer songwriter entrepreneur : 1983.
Willem Drees , Jr. ., a dutch politician civil servant economist professor : 1922.
Ferdinand Édouard Buisson, a french politician : 1840.
Karl August Reinhardt, a german mathematician, was ______",1895,17,33.666666666666664,1888,born in 1895.,born in 1895.
4,"Martha Moody, a american novelist , physician, was born in 1957.
Emma Elizabeth Jean Sutcliffe Goldrick, a american novelist, was born in 1926.
A. J. P. Taylor, a english historian, was born in 1898.
David Edgar, a british playwright, was ______","Martha Moody, a american novelist , physician : 1957.
Emma Elizabeth Jean Sutcliffe Goldrick, a american novelist : 1926.
A. J. P. Taylor, a english historian : 1898.
David Edgar, a british playwright, was ______",1948,72,22.0,1954,born in 1948.,born in 1948.
5,"Russell Targ, a american physicist , parapsychologist and author, was born in 1943.
Jan Bucquoy, a belgium anarchist , author , filmmaker, was born in 1936.
Graham Kennedy, a australian television personality, was born in 1924.
Halbe Zijlstra, a dutch politician management consultant, was ______","Russell Targ, a american physicist , parapsychologist and author : 1943.
Jan Bucquoy, a belgium anarchist , author , filmmaker : 1936.
Graham Kennedy, a australian television personality : 1924.
Halbe Zijlstra, a dutch politician management consultant, was ______",1969,20,59.333333333333336,1971,born in 1969.,born in 1969.
6,"Boudewijn Bouckaert, a belgian politician , professor, was born in 1948.
Koh Tsu Koon, a malaysian educator , politician, was born in 1943.
Madhusudan Rao, a indian poet , philosopher , freedom fighter, was born in 1845.
May Chidiac, a lebanon lebanese former tv moderator, was ______","Boudewijn Bouckaert, a belgian politician , professor : 1948.
Koh Tsu Koon, a malaysian educator , politician : 1943.
Madhusudan Rao, a indian poet , philosopher , freedom fighter : 1845.
May Chidiac, a lebanon lebanese former tv moderator, was ______",1963,32,9.666666666666666,1962,born in 1963.,born in 1963.
7,"William Haines, a american actor , interior designer, was born in 1895.
Samuel Hunter Christie, a british professor, was born in 1792.
Phalgunanda Lingden, a nepalese was a great teacher, was born in 1894.
Wilhelm Normann, a german chemist, was ______","William Haines, a american actor , interior designer : 1895.
Samuel Hunter Christie, a british professor : 1792.
Phalgunanda Lingden, a nepalese was a great teacher : 1894.
Wilhelm Normann, a german chemist, was ______",1870,8,17.666666666666668,1863,born in 1870.,born in 1870.
8,"Howard Thurston, a american us magician, was born in 1865.
Tom Morton, a british journalist author broadcaster, was born in 1953.
Michael Hastings, a united states journalist, was born in 1971.
Cristina Goettsch Mittermeier, a mexican , american photojournalist, was ______","Howard Thurston, a american us magician : 1865.
Tom Morton, a british journalist author broadcaster : 1953.
Michael Hastings, a united states journalist : 1971.
Cristina Goettsch Mittermeier, a mexican , american photojournalist, was ______",1966,15,45.0,1975,born in 1966.,born in 1966.
9,"Owsley Brown Frazier, a american executive , entrepreneur, was born in 1928.
J. D. Williams, a american actor, was born in 1984.
Petr Kostka, a czech actor, was born in 1934.
Bob Stenehjem, a american roads and streets foreman, was ______","Owsley Brown Frazier, a american executive , entrepreneur : 1928.
J. D. Williams, a american actor : 1984.
Petr Kostka, a czech actor : 1934.
Bob Stenehjem, a american roads and streets foreman, was ______",1952,5,12.0,1956,born in 1952.,born in 1952.
10,"Matthieu Ricard, a french buddhist monk, was born in 1953.
Sergei Aleksandrovich Tokarev, a russian ethnologist, was born in 1899.
Matilda Mary Hays, a british author , journalist , actor , translator, was born in 1825.
Richard Phillips, a american merchant mariner , author, was ______","Matthieu Ricard, a french buddhist monk : 1953.
Sergei Aleksandrovich Tokarev, a russian ethnologist : 1899.
Matilda Mary Hays, a british author , journalist , actor , translator : 1825.
Richard Phillips, a american merchant mariner , author, was ______",1955,44,28.333333333333332,1961,born in 1956.,born in 1955.
11,"Eamonn Andrews Cbe, a irish television and radio presenter, was born in 1927.
Lawrence Paros, a american writer , educator , filmmaker, was born in 1935.
Alexis Caswell Angell, a american lawyer , law professor , judge, was born in 1850.
Dorothy Spruill Redford, a american author , historian, was ______","Eamonn Andrews Cbe, a irish television and radio presenter : 1927.
Lawrence Paros, a american writer , educator , filmmaker : 1935.
Alexis Caswell Angell, a american lawyer , law professor , judge : 1850.
Dorothy Spruill Redford, a american author , historian, was ______",1943,7,8.666666666666666,1945,born in 1943.,born in 1943.
